,,,,,,reported,,,calculated,,calculated,,reported,calculated,,,,,,,,,,,,,,,,,,,,,,
StudyID,EstimateID,Title,comment,Author(s),PubDate,TS_PA_EffSize,bp_PA_EffSize,EffSizeSE,t,k,df,t_CorCoef,rep_CorCoef,CorCoefCorrected,CorCoefSE,Zr,ZrSE,ZrVar,ParSex,Par_SS,OffSex,Off_SS,n_obs,Species,SpermProdSeason,Phylogeny,Tissue,MethFact,OffAgeTL,W_B_PEff,EnvEff,EnvCond,MF_ID,StatM,z_transfTL,LinQuadEff
1,1,"Estimation of environmental, genetic and parental age at conception effects on telomere length in a wild mammal",table s4,"van Lieshout et al., 2021",2021-02-01,0.036,,0.0480,0.750,19,452,0.035,,0.03529,0.0461674,,,,M,108,Both,240,471,Meles meles,Continuous,Meles_meles,Leucocytes,qPCR,Both,Neither,No,Wild,Yes,Mixed effects,Yes,Linear
1,2,"Estimation of environmental, genetic and parental age at conception effects on telomere length in a wild mammal",table s4,"van Lieshout et al., 2021",2021-02-01,-0.033,,0.0500,-0.660,19,452,-0.031,,-0.03106,0.0461804,,,,F,120,Both,240,471,Meles meles,Continuous,Meles_meles,Leucocytes,qPCR,Both,Neither,No,Wild,Yes,Mixed effects,Yes,Linear
1,3,"Estimation of environmental, genetic and parental age at conception effects on telomere length in a wild mammal",table s6,"van Lieshout et al., 2021",2021-02-01,0.055,,0.0640,0.859,15,456,0.040,,0.04025,0.0461501,,,,M,108,Both,240,471,Meles meles,Continuous,Meles_meles,Leucocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Mixed effects,Yes,Linear
1,4,"Estimation of environmental, genetic and parental age at conception effects on telomere length in a wild mammal",table s6,"van Lieshout et al., 2021",2021-02-01,-0.064,,0.0650,-0.985,15,456,-0.046,,-0.04611,0.0461267,,,,F,120,Both,240,471,Meles meles,Continuous,Meles_meles,Leucocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Mixed effects,Yes,Linear
1,5,"Estimation of environmental, genetic and parental age at conception effects on telomere length in a wild mammal",table s7,"van Lieshout et al., 2021",2021-02-01,0.045,,0.0470,0.957,21,450,0.045,,0.04514,0.0461308,,,,M,108,Both,240,471,Meles meles,Continuous,Meles_meles,Leucocytes,qPCR,Juvenile,Within,No,Wild,Yes,Mixed effects,Yes,Linear
1,6,"Estimation of environmental, genetic and parental age at conception effects on telomere length in a wild mammal",table s7,"van Lieshout et al., 2021",2021-02-01,0.012,,0.0470,0.255,21,450,0.012,,0.01205,0.0462183,,,,F,120,Both,240,471,Meles meles,Continuous,Meles_meles,Leucocytes,qPCR,Juvenile,Within,No,Wild,Yes,Mixed effects,Yes,Linear
1,7,"Estimation of environmental, genetic and parental age at conception effects on telomere length in a wild mammal",table s7,"van Lieshout et al., 2021",2021-02-01,0.016,,0.0480,0.333,21,450,0.016,,0.01573,0.0462136,,,,M,108,Both,240,471,Meles meles,Continuous,Meles_meles,Leucocytes,qPCR,Juvenile,Between,No,Wild,Yes,Mixed effects,Yes,Linear
1,8,"Estimation of environmental, genetic and parental age at conception effects on telomere length in a wild mammal",table s7,"van Lieshout et al., 2021",2021-02-01,-0.048,,0.0500,-0.960,21,450,-0.045,,-0.04526,0.0461303,,,,F,120,Both,240,471,Meles meles,Continuous,Meles_meles,Leucocytes,qPCR,Juvenile,Between,No,Wild,Yes,Mixed effects,Yes,Linear
2,9,Telomere heritability and parental age at conception effects in a wild avian population,table 1,"Sparks et al., 2022",2021-02-15,-0.032,,0.0110,-2.909,14,2347,-0.060,,-0.05995,0.0205194,,,,M,354,Both,1156,2361,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Both,Within,No,Wild,Yes,Regression,Yes,Linear
2,10,Telomere heritability and parental age at conception effects in a wild avian population,table 1,"Sparks et al., 2022",2021-02-15,-0.01,,0.0110,-0.909,14,2347,-0.019,,-0.01877,0.0205862,,,,F,380,Both,1156,2361,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Both,Within,No,Wild,Yes,Regression,Yes,Linear
2,11,Telomere heritability and parental age at conception effects in a wild avian population,table 1,"Sparks et al., 2022",2021-02-15,0.001,,0.0090,0.111,14,2347,0.002,,0.00229,0.0205933,,,,M,354,Both,1156,2361,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Both,Between,No,Wild,Yes,Regression,Yes,Linear
2,12,Telomere heritability and parental age at conception effects in a wild avian population,table 1,"Sparks et al., 2022",2021-02-15,0.03,,0.0110,2.727,14,2347,0.056,,0.05622,0.0205283,,,,F,380,Both,1156,2361,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Both,Between,No,Wild,Yes,Regression,Yes,Linear
2,13,Telomere heritability and parental age at conception effects in a wild avian population,table s4 all ages,"Sparks et al., 2022",2021-02-15,-0.005,,0.0030,-1.667,12,2349,-0.034,,-0.03437,0.0205691,,,,M,354,Both,1156,2361,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Both,Neither,No,Wild,Yes,Regression,No,Linear
2,14,Telomere heritability and parental age at conception effects in a wild avian population,table s4 all ages,"Sparks et al., 2022",2021-02-15,0.004,,0.0030,1.333,12,2349,0.028,,0.02751,0.0205778,,,,F,380,Both,1156,2361,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Both,Neither,No,Wild,Yes,Regression,No,None
2,15,Telomere heritability and parental age at conception effects in a wild avian population,table s4 chicks,"Sparks et al., 2022",2021-02-15,0.001,,0.0090,0.111,11,293,0.006,,0.00650,0.0576366,,,,M,354,Both,304,304,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,No,None
2,16,Telomere heritability and parental age at conception effects in a wild avian population,table s4 chicks,"Sparks et al., 2022",2021-02-15,0,,0.0080,0.000,11,293,0.000,,0.00000,0.0576390,,,,F,380,Both,304,304,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,No,Linear
2,17,Telomere heritability and parental age at conception effects in a wild avian population,table s4 juveniles,"Sparks et al., 2022",2021-02-15,-0.004,,0.0040,-1.000,11,1126,-0.030,,-0.02980,0.0296693,,,,M,354,Both,958,1137,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,No,Linear
2,18,Telomere heritability and parental age at conception effects in a wild avian population,table s4 juveniles,"Sparks et al., 2022",2021-02-15,0.002,,0.0040,0.500,11,1126,0.015,,0.01491,0.0296891,,,,F,380,Both,958,1137,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,No,None
2,19,Telomere heritability and parental age at conception effects in a wild avian population,table s6 all ages,"Sparks et al., 2022",2021-02-15,-0.013,,0.0070,-1.857,12,2349,-0.038,,-0.03830,0.0205632,,,,M,354,Both,1156,2361,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,Yes,Linear
2,20,Telomere heritability and parental age at conception effects in a wild avian population,table s6 all ages,"Sparks et al., 2022",2021-02-15,0.01,,0.0080,1.250,12,2349,0.026,,0.02579,0.0205797,,,,F,380,Both,1156,2361,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,Yes,Linear
2,21,Telomere heritability and parental age at conception effects in a wild avian population,table s6 chicks,"Sparks et al., 2022",2021-02-15,0.009,,0.0210,0.429,11,293,0.025,,0.02507,0.0576028,,,,M,354,Both,304,304,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,Yes,Linear
2,22,Telomere heritability and parental age at conception effects in a wild avian population,table s6 chicks,"Sparks et al., 2022",2021-02-15,0,,0.0200,0.000,11,293,0.000,,0.00000,0.0576390,,,,F,380,Both,304,304,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,Yes,Linear
2,23,Telomere heritability and parental age at conception effects in a wild avian population,table s6 juveniles,"Sparks et al., 2022",2021-02-15,-0.008,,0.0090,-0.889,11,1126,-0.026,,-0.02649,0.0296749,,,,M,354,Both,958,1137,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,Yes,Linear
2,24,Telomere heritability and parental age at conception effects in a wild avian population,table s6 juveniles,"Sparks et al., 2022",2021-02-15,0.004,,0.0100,0.400,11,1126,0.012,,0.01192,0.0296915,,,,F,380,Both,958,1137,Acrocephalus sechellensis,Seasonal,Acrocephalus_sechellensis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,Yes,Linear
3,25,In young men sperm telomere length is related to sperm number and parental age,Figure 5,"Ferlin et al., 2013",2013-10-27,,,,,,,,0.2462,0.24770,0.1062805,,,,M,NA,M,81,81,Homo sapiens,Continuous,Homo_sapiens,Sperm,qPCR,Adult,Neither,No,Human,No,Correlation,No,Linear
3,26,In young men sperm telomere length is related to sperm number and parental age,Figure 5,"Ferlin et al., 2013",2013-10-27,,,,,,,,0.3328,0.33472,0.1005418,,,,F,NA,M,81,81,Homo sapiens,Continuous,Homo_sapiens,Sperm,qPCR,Adult,Neither,No,Human,No,Correlation,No,Linear
3,27,In young men sperm telomere length is related to sperm number and parental age,Figure 5,"Ferlin et al., 2013",2013-10-27,,,,,,,,0.1439,0.14482,0.1108532,,,,M,NA,M,81,81,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Correlation,No,Linear
3,28,In young men sperm telomere length is related to sperm number and parental age,Figure 5,"Ferlin et al., 2013",2013-10-27,,,,,,,,0.3358,0.33773,0.1003124,,,,F,NA,M,81,81,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Correlation,No,Linear
